epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,6453.69,0.81678,0.59398,1.08881,0.80211,0.81764,0.8441,0.5801,1.1725,0.88126,1.31269,0.000162075,0.000162075,0.000162075
85,6530.85,0.82187,0.5933,1.08582,0.82709,0.83601,0.85763,0.57803,1.17129,0.87691,1.3094,0.000153076,0.000153076,0.000153076
86,6607.59,0.81311,0.58329,1.08378,0.82528,0.81805,0.85213,0.57749,1.15369,0.87195,1.31789,0.000144077,0.000144077,0.000144077
87,6684.36,0.81967,0.59778,1.0871,0.82544,0.81726,0.84736,0.56949,1.18575,0.89281,1.34007,0.000135077,0.000135077,0.000135077
88,6761.03,0.81471,0.5972,1.09149,0.82364,0.82057,0.85461,0.57665,1.18622,0.90937,1.34377,0.000126078,0.000126078,0.000126078
89,6837.79,0.80959,0.58098,1.08604,0.83577,0.83956,0.84743,0.57963,1.1697,0.88424,1.31258,0.000117079,0.000117079,0.000117079
90,6914.58,0.79719,0.58113,1.07991,0.82331,0.83514,0.85713,0.57822,1.1582,0.86336,1.32559,0.00010808,0.00010808,0.00010808
91,6991.63,0.74682,0.48666,1.0296,0.81943,0.84288,0.85569,0.58067,1.14488,0.89205,1.32306,9.9081e-05,9.9081e-05,9.9081e-05
92,7068.6,0.73674,0.48025,1.02506,0.83847,0.8343,0.85072,0.57337,1.14987,0.89313,1.32036,9.00819e-05,9.00819e-05,9.00819e-05
93,7145.21,0.7235,0.47089,1.01924,0.83599,0.82866,0.85103,0.57941,1.13626,0.89926,1.32959,8.10828e-05,8.10828e-05,8.10828e-05
94,7221.85,0.70296,0.45969,1.00566,0.83843,0.84058,0.85041,0.58266,1.11729,0.85702,1.3096,7.20837e-05,7.20837e-05,7.20837e-05
95,7298.99,0.70792,0.45939,1.01473,0.8395,0.81482,0.8499,0.57991,1.15353,0.86257,1.32925,6.30846e-05,6.30846e-05,6.30846e-05
96,7375.71,0.69663,0.45595,1.00257,0.84076,0.82277,0.84913,0.58397,1.14426,0.86926,1.32917,5.40855e-05,5.40855e-05,5.40855e-05
97,7452.67,0.6933,0.45494,0.99792,0.84464,0.82024,0.85955,0.58623,1.14882,0.87824,1.3355,4.50864e-05,4.50864e-05,4.50864e-05
98,7529.64,0.68678,0.45002,0.99693,0.84281,0.83637,0.85851,0.58673,1.14133,0.87395,1.34183,3.60873e-05,3.60873e-05,3.60873e-05
99,7606.72,0.68511,0.45161,0.99678,0.84601,0.82419,0.85777,0.58359,1.1499,0.87349,1.33985,2.70882e-05,2.70882e-05,2.70882e-05
100,7683.3,0.67876,0.44751,0.99455,0.84283,0.82614,0.85956,0.58245,1.14643,0.87673,1.34363,1.80891e-05,1.80891e-05,1.80891e-05
